year;Sex;All;1;5;10;15;20;25;30;35;40;45;50;55;60;65;70;80;90;201
1998;F;8.6;3.6;0.32;0.13;0.13;0.26;0.4;0.42;0.57;0.86;1.34;1.92;2.78;3.9;5.6;8.7;19.5;75;205
1999;F;8.7;3.3;0.33;0.12;0.13;0.26;0.39;0.4;0.55;0.84;1.36;1.98;2.77;3.8;5.5;8.3;19.7;74.8;207
2000;F;8.5;3.3;0.35;0.11;0.13;0.28;0.34;0.35;0.53;0.82;1.32;2.02;2.73;3.7;5.3;8.2;18.8;69.2;202
2001;F;8.4;3.4;0.35;0.11;0.11;0.28;0.35;0.38;0.5;0.82;1.32;2.02;2.69;3.7;5.4;8;18.4;64.7;201
2002;F;8.5;3.1;0.33;0.11;0.12;0.24;0.34;0.37;0.46;0.77;1.34;2.01;2.78;3.8;5.2;8;18.1;62.4;202
2003;F;8.8;3.1;0.31;0.1;0.1;0.2;0.3;0.34;0.46;0.77;1.29;1.99;2.84;3.7;5.2;7.9;18.4;62.1;215
2004;F;7.9;3;0.29;0.09;0.1;0.21;0.29;0.29;0.47;0.73;1.22;1.9;2.75;3.6;5.1;7.3;16.5;52.7;184
2005;F;8.1;2.8;0.27;0.09;0.08;0.2;0.29;0.3;0.44;0.7;1.16;1.86;2.71;3.6;5.1;7.3;16.5;54.3;199
2006;F;7.9;2.8;0.28;0.09;0.09;0.19;0.28;0.29;0.41;0.69;1.13;1.83;2.76;3.6;5;7.2;16;52.2;194
2007;F;7.9;2.6;0.27;0.09;0.08;0.18;0.25;0.3;0.38;0.65;1.08;1.78;2.64;3.6;4.9;6.9;15.5;53.1;197
2008;F;8.1;2.9;0.27;0.08;0.09;0.16;0.24;0.27;0.42;0.67;1.08;1.78;2.68;3.6;4.9;7.1;15.7;54.3;202
2009;F;8.2;2.9;0.26;0.08;0.08;0.18;0.25;0.3;0.4;0.63;1.09;1.75;2.69;3.7;4.8;7;15.1;55.5;200
2010;F;8.2;2.8;0.24;0.08;0.08;0.16;0.23;0.3;0.35;0.61;1.02;1.7;2.62;3.6;4.9;7;14.9;53.7;186
2011;F;8;2.6;0.24;0.08;0.07;0.16;0.24;0.27;0.37;0.59;0.98;1.63;2.56;3.6;4.9;6.7;14.3;51.3;174
2012;F;8.5;2.6;0.24;0.07;0.08;0.16;0.24;0.26;0.36;0.56;0.93;1.61;2.52;3.6;4.8;6.7;14.4;53.2;181
2013;F;8.4;2.8;0.23;0.09;0.07;0.14;0.21;0.25;0.35;0.55;0.92;1.56;2.41;3.6;4.9;6.6;14.1;51.5;175
2014;F;8.2;2.6;0.24;0.07;0.07;0.14;0.19;0.26;0.33;0.54;0.92;1.54;2.34;3.4;4.8;6.6;13.5;49;165
2015;F;8.8;2.8;0.23;0.07;0.07;0.16;0.22;0.24;0.33;0.53;0.88;1.5;2.37;3.5;4.8;6.7;13.9;51.1;179
2016;F;8.7;2.7;0.23;0.07;0.07;0.13;0.23;0.25;0.36;0.5;0.83;1.49;2.23;3.5;4.9;6.8;13.4;49.9;175
1962;M;12.1;24.4;2.46;0.52;0.41;0.94;1.34;1.64;2.14;2.9;4.14;6.76;10.69;16.9;25.5;37.9;71;170;361
1963;M;12.3;23.9;2.39;0.49;0.4;0.93;1.43;1.65;2.04;2.87;4.15;6.82;10.7;17.5;26.6;38.9;73.1;171.4;352
1964;M;11.4;22.6;1.99;0.46;0.43;0.96;1.51;1.69;1.94;2.84;4.06;6.32;10.12;16.2;25;36.6;67.3;155.4;306
1965;M;11.8;21.2;1.81;0.48;0.4;0.99;1.51;1.59;2.01;2.91;4.26;6.42;10.57;16.7;25.7;38.4;69.8;162.3;329
1966;M;11.4;21.3;1.76;0.48;0.37;1.02;1.53;1.67;1.97;2.83;4.22;6.31;10.27;16.1;24.9;37.9;66.2;151.5;305
1967;M;11.6;20.2;1.67;0.46;0.41;1.05;1.59;1.59;1.94;2.7;4.2;6.59;10.32;16.2;25.2;38.3;67.3;156.4;330
1968;M;11.7;19.9;1.56;0.48;0.44;1.12;1.56;1.57;1.88;2.77;4.3;6.61;10.29;15.8;25.1;38.3;68;158.7;336
1969;M;12.1;19.2;1.59;0.49;0.46;1.16;1.65;1.62;1.95;2.91;4.38;6.78;10.34;16.3;26.2;40.2;71.1;157.2;341
1970;M;11.3;17.6;1.54;0.51;0.42;1.17;1.61;1.59;1.88;2.73;4.17;6.26;9.42;15;23.7;36.2;65;151.3;312
1971;M;11.4;16.9;1.42;0.49;0.44;1.26;1.74;1.57;1.84;2.69;4.33;6.5;9.7;15.3;23.5;36.2;65.3;152.7;322
1972;M;11.3;15.6;1.41;0.47;0.42;1.27;1.86;1.6;1.94;2.71;4.3;6.6;9.7;15.4;23;36.1;64.6;147.4;297
1973;M;11.3;15.1;1.33;0.47;0.41;1.3;1.83;1.51;1.81;2.53;4.29;6.56;9.66;15;22.4;35.1;64.5;152.2;313
1974;M;11.2;14.3;1.34;0.44;0.41;1.24;1.72;1.45;1.69;2.54;4.18;6.62;9.82;14.7;22.5;34.4;64.1;146.5;299
1975;M;11.3;13.4;1.15;0.44;0.39;1.18;1.7;1.43;1.62;2.51;4.22;6.75;10.11;14.3;22.5;34.7;64.8;149.6;306
1976;M;11.2;12.2;1.08;0.4;0.36;1.22;1.84;1.49;1.67;2.49;4.09;6.78;10.15;14.5;22.4;33.7;63.9;146;310
1977;M;10.8;11.3;1.08;0.41;0.37;1.19;1.77;1.48;1.63;2.37;3.95;6.66;9.81;14;21.5;31.9;61.2;136.9;296
1978;M;11;10.3;1.09;0.4;0.35;1.16;1.71;1.45;1.55;2.26;3.82;6.63;9.71;14;21.8;31.6;61.7;141.3;299
1979;M;10.8;9.6;1.02;0.39;0.35;1.19;1.79;1.53;1.63;2.27;3.76;6.38;9.9;14.1;20.5;30.8;59.8;136.5;291
