annee;sex;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104; 105 ou +
1911;M;366079;342528;337224;321480;331572;329563;331011;332729;339902;344294;325741;331929;324798;333559;338687;316914;326629;327628;309074;313140;297140;315698;308778;307638;304318;307288;306202;303851;302587;303418;291315;297678;292370;295864;303710;294992;294577;282462;292367;231737;261977;258345;246089;251602;253743;246171;242930;239958;235398;234770;225005;226223;206543;196637;199599;184883;182835;182968;183902;180709;172332;168142;150442;137936;141069;141283;132500;128172;121566;117232;106802;98576;87905;78331;75286;68685;58383;50713;42783;40769;35260;28072;22863;18344;14599;11068;8236;6066;4294;3113;2155;1340;854;572;373;192;131;79;36;20;20;0;0;0;0;0
1912;M;332082;334569;333482;331465;323074;330190;327540;330933;331926;341349;344625;326308;332294;325126;333660;338586;316321;325626;326269;307412;311262;295013;312809;306125;305231;302191;305508;304611;302348;301233;301865;289892;295996;290618;293870;301545;292838;292365;280359;290071;229643;259683;255892;243681;248841;250748;243220;239799;236606;232117;231146;221382;222265;202577;192679;195279;180866;178533;178180;178928;175158;166885;162478;144896;132594;135163;134716;125702;120979;114236;109645;99077;90813;80216;70854;67316;60729;51214;44001;36247;34394;29329;22817;18345;14212;11081;8173;5974;4268;2889;2114;1406;847;530;339;209;101;73;49;21;17;0;0;0;0;0
1913;M;352376;313422;331015;327764;332887;321644;328075;327488;330177;333390;341641;345230;326727;332666;325366;333559;338079;315544;324515;324710;305659;309110;292703;310268;303750;303120;300483;303919;303175;301137;299671;300333;288353;294174;288749;291719;299320;290619;290073;278117;287533;227645;257187;253238;241083;245890;247628;239974;236622;233178;228378;227475;217407;218206;198527;188598;190971;176583;173893;173462;173593;169725;161462;156811;139320;127286;129366;128342;119020;114357;107129;102529;91814;83681;73135;64000;60208;53646;44925;38344;30918;29343;24677;18830;14882;11309;8691;6186;4384;3118;2014;1487;951;562;333;216;117;63;44;35;18;0;0;0;0;0
1914;M;348570;331879;310194;325436;329377;331534;319653;328081;326743;331674;333742;342287;345581;327092;332845;325230;333118;337135;314341;322940;322771;303631;306460;290244;308018;301681;301382;299026;302533;301920;299738;298169;298616;286621;292349;286746;289645;297110;288415;287899;275671;285070;225442;254779;250552;238305;242935;244498;236743;233341;229365;224813;223640;213310;214007;194375;184424;186466;172317;169250;168380;168198;164223;155658;151255;133605;121743;123277;121602;112140;107095;99873;95125;84350;76609;66061;57148;53206;46776;38895;32847;27596;24097;19976;14915;11558;8581;6431;4511;3071;2113;1369;1034;622;350;200;132;66;39;28;26;0;0;0;0;0
1920;M;234386;195045;170387;161297;202870;322980;329690;329639;313292;333409;335499;345770;345746;347266;345354;338241;340887;353127;360440;301843;259886;298637;280007;259856;242054;238279;238082;238299;245652;245660;249299;248800;251923;252220;260554;254049;250651;254174;255144;251535;263613;263897;269451;277337;273901;268031;259257;267374;217924;239164;234933;222808;228016;229204;218263;213373;211525;203643;196154;197765;189972;171121;160007;160265;145022;138923;136281;134265;127936;118125;107625;97101;83204;80868;78283;69834;62778;56007;47763;41374;33198;27592;21803;18826;14934;10749;7938;5807;4503;3240;2090;1332;897;575;360;168;103;67;60;20;19;0;0;0;0;0
1921;M;395984;221011;196256;172404;161979;204411;322435;330845;333155;315896;335320;338340;347393;345714;347421;345706;338487;341123;350811;357787;307396;245301;293357;292355;271336;251148;248717;250510;238492;246111;247377;251419;250740;252942;253250;261539;255735;252650;253095;254066;250710;262987;263186;267636;275577;271996;266290;257604;264114;215214;235952;231804;219392;224300;225302;214115;209057;207130;199153;191409;192519;184811;166103;154532;154476;139171;133124;129873;127880;121333;111404;100957;90373;76904;74246;71337;63047;56142;49427;41911;35566;28445;23165;17901;15132;11761;8385;6063;4264;3300;2288;1442;916;614;380;229;104;73;39;34;19;0;0;0;0;0
1922;M;377376;378529;223120;199363;172586;163533;205212;323289;333671;335835;317667;337397;339697;347266;346084;348253;344834;338541;338761;346875;346776;299136;250850;295325;291217;271416;251624;250031;248660;236949;244970;246283;250269;249333;251302;251856;260392;254497;250555;250875;252002;248908;260842;261156;265820;273835;269679;264221;254455;260727;212364;232666;228201;215743;220297;220976;209724;204565;202299;194220;186219;187052;179121;160295;148655;148197;133052;126954;123512;121125;113969;104428;93649;83420;70556;67563;64346;56154;49433;43068;35999;30179;23740;18750;14240;11930;9123;6317;4536;3049;2317;1571;946;586;386;240;128;72;38;26;24;0;0;0;0;0
1923;M;362984;364024;377596;225556;200602;173746;163423;207640;326682;335425;337987;320605;338500;339561;347549;346615;349245;344126;336332;337196;339218;340240;300374;274967;299051;294667;280424;259815;249977;249194;238376;246511;247796;251054;250012;251935;253564;261438;253105;249402;249723;251323;247931;259030;259154;263755;271913;267292;260552;251101;257058;209396;229085;224293;211780;215950;216332;205007;199551;197091;188714;180932;181164;172504;153960;142238;141470;126533;120438;116630;113522;106083;96735;85920;75847;63561;60180;56786;48702;42585;36477;30183;24894;19023;14766;10983;8972;6721;4498;3187;2099;1582;1062;568;354;225;134;70;36;20;19;0;0;0;0;0
1924;M;361270;348465;362528;374586;226002;202732;173118;164761;212396;328849;336579;341278;322480;337997;339688;347842;347234;350304;342034;333940;333296;335098;337941;321576;303184;306260;303130;296980;259729;251365;253054;241408;250070;249861;253241;252023;254688;257518;260075;252477;248967;249466;251479;246133;257193;257061;261888;270275;263639;257116;247608;253550;206315;225373;220379;207787;211575;211777;200329;194569;191624;183526;175576;174844;165943;147785;136016;134801;120387;114176;109781;106490;98784;89512;78719;68967;57370;53721;50081;42480;36480;30987;25289;20280;15259;11651;8478;6831;5006;3217;2253;1431;1107;695;369;210;145;83;42;22;19;0;0;0;0;0
1925;M;359913;349025;348464;364134;374907;227440;203131;173997;168464;215863;330432;338833;343442;322754;337816;339920;348256;347970;348810;339661;331344;330335;334635;347001;341888;335947;315658;313748;300029;259255;255160;257602;245619;253222;252755;256055;255088;258575;257857;259016;252182;249107;249607;249688;244205;255109;254908;259914;266912;259835;253309;244170;249676;202741;221326;216009;203490;206711;206586;195191;188962;185829;177676;169262;168119;158980;141239;129201;127998;113929;107059;102459;98833;90962;81858;71050;61841;50903;47187;43365;36325;30755;25715;20455;16042;11939;8955;6289;4999;3650;2251;1521;957;718;437;222;139;83;54;24;14;0;0;0;0;0
