annee;sex;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104; 105 ou +
1946;M;307861;290109;290597;267647;240970;254008;277970;279548;283016;289423;292377;307592;307009;326419;326653;334938;320857;325068;322370;327912;329409;319941;322371;326144;336050;341520;206446;183290;160841;154023;193808;290872;300965;307620;290797;309821;309855;314973;310022;313669;313183;311850;311827;317128;312053;297974;290555;269808;258869;246093;208241;205585;205135;192887;197450;187250;194040;189464;187802;181746;180456;173745;167260;163949;159258;149135;154222;148137;145968;141531;131788;122412;111129;106658;80495;80193;71886;60937;55383;49074;39804;33688;28639;23010;17499;14557;10798;7394;5131;3897;2521;1700;1208;772;504;308;142;79;48;27;98;0;0;0;0;0
1947;M;408857;297778;288509;290038;267465;240924;254077;278039;279637;283186;289501;292366;307630;306968;326269;326822;335134;320729;324994;322240;327581;328939;319738;321857;325456;335655;341238;206392;183381;160804;153922;193405;290511;300484;306954;290125;309021;308934;313657;308818;312337;311761;310273;310219;315193;309905;295739;288361;267583;256412;243699;205921;203322;202697;190325;194674;184392;190839;186018;184244;177814;176396;169469;162676;159182;154211;144004;148397;142078;139365;134608;124757;115293;104058;99159;74228;73372;65110;54779;48955;43107;34308;28761;24020;19030;14194;11605;8404;5653;3699;2889;1845;1199;858;522;323;188;93;52;72;0;0;0;0;0;0
1948;M;422327;401110;299483;290156;292037;270112;242956;256598;280351;281820;285649;291304;293768;309176;308196;327146;329461;338068;322394;327421;324818;329481;330345;322645;323511;326561;338341;344666;209064;186696;163229;155543;194129;292870;302509;308148;290955;309705;309495;312874;308522;311948;311145;309425;308898;313330;307536;293499;286019;265056;253663;240962;203343;201060;200353;187737;191777;181333;187742;182408;180734;173819;172349;165648;158047;154599;148857;138856;141922;136309;133248;128092;117951;108417;97389;92009;68250;66889;59038;48625;42902;37616;29499;24500;20057;15474;11513;9125;6562;4308;2707;2089;1283;841;573;330;195;121;61;76;0;0;0;0;0;0
1949;M;427048;415074;400779;300002;290567;292591;270924;243566;257383;281051;282482;286405;291853;294129;309546;308341;327116;330009;338661;322501;327801;325161;329573;330201;323003;323518;326310;338645;345171;209511;187425;163691;155726;193876;293022;302485;307766;290543;309067;308744;311460;307366;310568;309577;307649;306858;311034;305002;290955;283263;262230;250754;238107;200617;198308;197531;184958;188675;177938;184156;178457;176525;169343;167773;161029;153054;149434;143467;133193;135348;129900;126602;121039;110924;101098;90348;84687;62349;60492;52888;42880;37422;32528;25143;20742;16584;12611;9231;7207;5059;3258;2022;1501;930;580;374;205;130;82;92;0;0;0;0;0;0
1950;M;426479;417983;414209;400883;300405;290914;293013;271517;244022;257970;281549;282958;286978;292199;294330;309687;308313;326885;330237;338893;322327;327890;325299;329442;329877;323130;323333;325908;338732;345373;209705;187919;163896;155796;193552;292899;302233;307252;289929;308221;307822;309995;306043;309036;307885;305745;304689;308547;302360;288340;280242;259281;247631;235017;197768;195309;194521;181837;185201;174197;180152;174140;171944;164455;162586;155691;147350;143644;137229;126944;128196;122432;118784;112813;102574;92623;82118;76346;55501;53248;45915;36513;31317;26966;20408;16628;13002;9628;6911;5280;3035;2285;1531;1013;649;508;320;203;88;108;0;0;0;0;0;0
1951;M;423462;419301;417423;414367;401075;300734;291161;293279;271948;244322;258376;281905;283261;287327;292394;294397;309787;308387;326880;330608;339328;322551;328156;325601;329650;329880;323435;323363;325782;338892;345612;210027;188350;164193;155896;193337;292746;301918;306686;289220;307319;306842;308574;304594;307427;306065;303729;302445;306004;299529;285408;277050;256005;244373;231700;194706;192148;191252;178394;181515;170441;176006;169776;167279;159480;157341;150415;141669;137762;130999;120906;121027;115272;111165;104841;94770;84828;74576;68624;49364;46744;39851;31019;26240;22231;16505;13405;10159;7292;5250;3850;2186;1583;1071;673;409;306;206;133;129;0;0;0;0;0;0
1952;M;405070;416148;418919;417509;414687;401858;301548;291777;293995;272815;244999;259190;282652;283938;288055;292845;294708;309851;308077;326252;330445;339208;321876;327706;325153;328945;328991;323160;322736;324969;338640;345656;209940;188599;164206;155695;192718;292474;301556;305977;288327;306155;305499;306746;302909;305522;303904;301376;299730;303127;296163;282113;273516;252520;240781;228077;191246;188634;187627;174667;177531;166288;171497;164932;162153;154087;151563;144660;135579;131356;124071;114189;113279;107462;103130;96316;86358;76496;66681;60325;42746;40234;33717;25530;21150;17732;12833;10357;7530;5287;3778;2736;1495;1092;703;419;243;194;133;192;0;0;0;0;0;0
1953;M;406846;396919;415372;419267;417809;415163;402246;302012;292080;294354;273307;245353;259658;283044;284248;288357;293036;294725;309706;307734;325696;330185;338872;321224;327209;324694;328337;328283;322787;322113;324222;338247;345340;209737;188582;164018;155426;192118;291959;300912;305028;287313;304928;304169;304947;301051;303515;301679;299011;297063;299927;292858;278843;270005;248997;237126;224374;187792;185035;183893;170892;173408;162107;167018;159975;157046;148698;146053;138804;129466;124981;117413;107557;105910;100125;95382;88366;78534;68821;59518;52912;37109;34536;28693;21076;16933;14105;10045;8055;5600;3906;2757;1921;1059;737;449;256;159;128;197;0;0;0;0;0;0
1954;M;395918;401973;394654;415482;419822;418210;415688;402766;302555;292459;294760;273844;245743;260139;283466;284585;288707;293204;294725;309558;307356;325148;329896;338502;320589;326717;324213;327710;327548;322439;321469;323452;337813;345031;209523;188619;163895;155108;191479;291401;300199;304008;286205;303533;302627;303009;299076;301147;299107;296274;294038;296512;289193;275200;266055;245067;232993;220204;184010;181088;179793;166730;168921;157502;162020;154644;151243;142800;139692;132349;122772;117958;110173;100165;97871;91944;86688;79661;70162;60623;51929;45298;31359;28754;23568;16761;12978;10796;7451;6045;3956;2623;2042;1340;751;441;257;156;98;177;0;0;0;0;0;0
1955;M;402514;391206;401535;395072;415781;420116;418713;416181;402995;302713;292977;295090;274158;246111;260655;284125;285127;289186;293790;295323;310156;307913;325499;329775;338625;320845;326755;324240;327639;327395;322200;321361;323327;337328;344736;209254;188109;163649;154860;191269;290521;299080;302931;284937;302160;300899;301203;296813;298771;296520;293398;290888;293179;285750;271428;262020;241129;229188;216206;180552;177252;175641;162588;164462;153035;156974;149505;145771;137040;133634;125984;116476;111241;103285;93359;90473;84389;78923;71875;62630;53368;45202;38884;26418;24049;19269;13266;9972;8232;5539;4462;2797;1814;1452;962;495;278;174;106;149;0;0;0;0;0;0
1956;M;400357;399002;391878;402434;396585;416866;421035;420040;417417;403626;303234;294169;295914;274898;246982;261725;285582;286469;290366;295260;296808;311867;309407;326567;330009;339337;321853;327477;324814;328069;327718;322422;321761;323662;337155;344961;209250;187707;163603;154938;191513;289851;298088;302027;283783;300846;299246;299574;294514;296333;293897;290488;287689;289839;282113;267445;257969;237180;225224;212123;176891;173473;171394;158395;159753;148526;151817;144172;140050;130988;127452;119441;109884;104214;96211;86509;83105;76815;71049;64054;55048;46315;38648;32868;21917;19670;15370;10198;7485;6071;4016;3270;1900;1192;1016;658;323;194;123;168;0;0;0;0;0;0
1957;M;403258;398334;400654;393803;404065;398946;418580;422460;421975;419258;404637;304001;295962;297143;276004;248243;263305;287703;288412;292144;297472;299181;314537;311639;328367;330623;340683;323563;328727;325859;328881;328376;322963;322652;324397;337212;345660;209456;187328;163734;155175;192019;289159;296972;301212;282601;299518;297496;297916;292043;293591;290968;287377;284092;286289;278287;263271;253448;232885;220984;207758;172981;169439;166846;153864;154824;143631;146171;138490;133759;124587;120700;112712;102901;97032;88978;79299;75490;68822;63060;56195;47527;39491;32284;27015;17610;15624;11798;7545;5400;4312;2779;2269;1207;763;673;416;219;133;188;0;0;0;0;0;0
1958;M;408439;402781;400937;403578;396629;406374;402209;420950;424420;424596;421738;406003;305036;298312;298753;277452;249934;265349;290491;290952;294597;300613;302422;318061;314634;330740;331516;342568;325865;330544;327327;330097;329480;323817;324044;325702;337518;346884;209995;186924;164094;155616;192933;288602;296069;300576;281620;298330;295737;296358;289401;290932;287957;284165;280444;282615;274427;258868;248842;228488;216746;203286;169029;165321;162251;149395;149689;138476;140411;132600;127181;118227;113910;105697;96120;89821;82070;72383;68524;61550;55643;49080;40868;33548;26976;22192;14142;12260;8989;5528;3962;3047;1896;1553;810;505;425;281;150;203;0;0;0;0;0;0
1959;M;405460;406786;404341;402759;405375;398321;407754;404200;422380;425592;426152;423200;406805;305645;299701;299658;278243;250891;266505;292000;292358;296018;302449;304218;319981;316278;332010;331874;343485;327073;331398;328028;330614;329877;324085;324590;326155;337371;347279;210047;186445;164076;155650;193146;287812;294932;299580;280365;296913;293857;294418;286739;288216;285028;280977;276687;278844;270339;254588;244230;224049;212312;198882;165103;161193;157602;144871;144782;133626;134715;126932;121078;112138;107543;98949;89563;82958;75456;65860;61692;54641;48911;42615;34853;28215;22287;18069;11286;9588;6780;4058;2818;2110;1283;1048;542;323;290;195;232;0;0;0;0;0;0
1960;M;414360;403819;407878;406062;404463;406984;399823;408976;405939;423626;426615;427508;424505;407473;306138;300850;300407;278875;251621;267369;293337;293664;297266;303925;305715;321629;317686;333111;332116;344250;328035;332088;328551;330941;330138;324171;324966;326395;337035;347475;209963;185903;163947;155547;193177;286785;293580;298316;278809;295084;291653;292187;283783;285213;281643;277458;272620;274545;265917;249757;239348;219222;207611;193925;160737;156629;152629;139941;139516;128507;128844;120746;114567;105629;100665;92071;82763;76058;68652;59504;54916;48042;42339;36401;29326;23502;18144;14520;8871;7358;4999;2970;1961;1436;886;706;444;281;123;150;0;0;0;0;0;0
1961;M;409667;413017;404985;409550;408070;406448;408831;401519;410323;407818;424997;427723;428996;425888;408184;306658;302111;301187;279532;252432;268417;294885;295120;298524;305545;307359;323498;319303;334343;332470;345084;329142;332881;329116;331319;330418;324314;325364;326741;336726;347597;209901;185327;163859;155448;193213;285674;292087;296926;277090;293063;289123;289686;280597;281679;278110;273493;268182;269908;261116;244555;233886;213929;202487;188543;156160;151825;147212;134784;133820;122947;122417;114304;107684;98781;93567;84860;75831;68794;61785;52940;48241;41533;35992;30696;24068;19093;14313;11303;6706;5452;3489;2019;1334;940;583;442;298;192;186;0;0;0;0;0;0
1962;M;419850;407973;414273;407072;411960;410856;409130;411236;403740;412128;410316;426825;429216;430939;427705;409089;307290;303698;302161;280383;253547;269885;296908;296950;300200;307722;309561;325947;321473;336013;332989;346345;330652;334044;330023;332038;330957;324641;326045;327338;336484;347919;209984;184695;163826;155421;193452;284651;290628;295400;275445;291093;286649;287329;277156;278281;274428;269301;263734;265219;256181;239281;228475;208597;197427;183177;151613;147052;141953;129745;128192;117450;116214;108152;101149;92226;86859;78047;69353;62109;55493;47109;42408;35954;30510;25667;19710;15611;11299;8892;5149;4112;2412;1466;1002;585;439;200;150;100;197;0;0;0;0;0
1963;M;420441;424419;414602;420886;413468;418414;416803;415322;417252;409467;418561;416465;433159;435736;437331;435057;416152;314091;313631;314344;293434;265236;280050;305970;307975;311332;318040;319031;335022;329979;344543;340806;354593;337449;340220;336196;338169;336808;329968;330952;331897;340299;352140;213116;187605;166317;157698;195983;287205;293084;297597;276956;292488;287600;287885;277317;277903;273508;267867;261977;262813;252993;236351;225009;204806;193430;178999;147782;143137;137563;125219;123114;112100;110293;101880;94652;85618;79901;71051;62460;55382;48538;40756;36229;30468;25311;20903;15768;12401;8599;6599;3683;2928;1554;861;620;284;280;108;98;226;0;0;0;0;0
1964;M;435395;420203;426309;416839;423111;415424;419683;417592;416525;418751;411874;421243;419081;436026;438071;440231;437739;418147;316674;315322;315106;294813;267225;283292;308227;308952;312133;318578;319007;334522;330105;345323;342274;355786;338722;341233;336916;338760;337256;330127;330527;331150;339313;350131;211944;186722;165452;156665;194468;286057;290697;294638;274255;289247;284144;284031;272840;273170;268237;262666;256039;256054;246113;228959;217549;197915;186066;172106;142925;137487;131050;118868;115988;105186;102819;94397;86947;77912;71971;63538;54978;48605;41703;34804;30023;24734;20142;16156;11952;9284;6314;4735;2514;1957;1030;553;390;174;179;65;194;0;0;0;0;0
1965;M;441492;434964;421614;428096;418701;424949;417049;420710;418234;417493;419927;413850;423395;421168;438274;439868;442514;439779;419578;318727;316653;315586;295754;268772;285875;309940;309591;312709;318913;318872;333993;330088;345857;343349;356627;339534;341854;337306;339077;337355;330061;329876;330202;338164;348139;210751;185690;164479;155637;193048;284627;288217;291642;271328;285810;280550;280115;268353;268409;263186;257398;250284;249489;239136;221760;210405;191213;178990;165363;137862;131744;124735;112606;109116;98652;95716;87441;79812;71017;64823;56753;48560;42501;35783;29568;25002;20259;16185;12562;9140;7057;4700;3394;1747;1345;731;378;260;117;114;133;0;0;0;0;0
1966;M;435077;440495;435140;422097;428692;419366;425587;417615;421033;418410;417805;420359;414568;424204;421911;439011;440357;443175;440296;419892;319312;316870;315481;295893;269212;286732;310366;309624;312644;318739;318466;333451;329651;345627;343276;356415;339324;341534;336824;338435;336669;329184;328781;328886;336547;346047;209464;184567;163266;154458;191375;282384;285310;288236;268014;282045;276449;275598;263405;263117;257462;251522;243909;242542;231908;214302;202734;184003;171638;157970;131866;125222;117916;106006;101811;91709;88232;79971;72382;63653;57465;49941;42092;36522;30140;24590;20155;16098;12526;9531;6786;5172;3331;2360;1181;869;464;240;153;76;129;0;0;0;0;0
1967;M;433694;434547;441162;435747;422925;429571;420283;426505;418438;421513;418708;418276;420933;415540;425260;422800;439939;441046;444084;441033;420398;320081;317271;315483;296199;269814;287906;311058;309730;312695;318653;318069;332828;329291;345521;343334;356347;339310;341306;336468;337856;335955;328383;327636;327532;334940;343794;208064;183264;162092;153184;189635;280122;282364;284680;264581;278018;272121;270978;258406;257544;251708;245495;237505;235379;224352;206565;194758;176568;164081;150621;125953;118985;111231;99507;94707;84874;81083;72975;65417;56947;50912;43758;36232;31262;25260;20426;16264;12738;9731;7114;5013;3735;2353;1630;827;578;337;168;99;112;0;0;0;0;0
1968;M;422283;432450;434786;441456;435975;423269;429979;420681;426897;418787;421686;418770;418452;421139;415937;425597;423098;440198;441091;444194;441141;420271;320228;317225;315210;296129;269954;288322;311197;309546;312443;318332;317574;332162;328745;345090;342964;355854;338804;340661;335655;336915;334892;327129;326264;325845;332912;341373;206538;181866;160695;151809;187813;277441;278992;280947;260830;273626;267472;265684;252800;251764;245533;238941;230576;227737;216505;198748;186520;168680;156172;142994;119402;112200;104141;92697;87468;77852;73773;65863;58265;50114;44245;37719;30565;26289;20753;16655;12719;9872;7293;5086;3478;2594;1648;1083;556;326;226;122;117;0;0;0;0;0
1969;M;419655;421379;432723;435702;442576;437244;424716;431258;422622;428483;420401;423165;420322;419557;421520;414273;422353;419557;438000;439443;442787;441516;422676;322067;320571;317978;297908;271177;289361;311469;310819;313920;320111;319223;333553;329692;345701;343661;356074;338858;340728;335275;336303;334233;325668;324851;324561;331384;339923;205391;180776;159490;150428;186114;274194;275932;277554;257304;269345;262562;260519;247299;245744;239319;231885;223690;220484;208863;191037;178544;160964;148223;134988;112061;104785;96698;85465;80173;70990;66415;58834;51381;43469;37957;31990;25486;21418;16680;13245;9706;7488;5260;3576;2395;1805;1111;734;355;228;130;121;0;0;0;0;0
1970;M;423200;419445;421550;432792;436332;443644;438504;426201;432612;424534;430143;422050;424646;421921;420664;421891;412966;419984;419092;437049;438660;442462;444794;426282;327281;325213;321567;301433;274108;291554;313788;313794;316898;323180;322210;335806;331636;347102;345361;357003;339667;341424;335644;336159;333925;324534;323740;323261;330010;338276;204268;179703;158247;148977;184187;270454;272487;273616;253306;264420;256989;254506;241274;239003;232400;224363;216023;212421;200390;182433;169881;152349;139794;126386;104199;96857;88835;77994;72750;63760;59156;51973;44639;37214;32165;26763;20899;17375;13335;10279;7226;5451;3712;2505;1631;1213;736;471;226;145;145;0;0;0;0;0
1971;M;428845;423258;421255;422584;433336;437325;444968;439968;427837;434014;426512;431859;423845;426136;423574;421769;421977;415106;422235;419673;437418;440917;448119;449993;433335;331481;328037;324588;304145;276756;293990;316035;316271;319268;325734;324016;337133;332727;347998;346340;357184;339707;341380;335272;335415;333086;323011;322127;321708;328319;336427;203020;178454;156944;147415;181853;266532;268832;269688;249226;259424;251357;248416;235481;232628;225826;217452;208779;204555;192670;174535;161794;144420;131919;118615;96784;89351;81569;71113;65955;56987;52444;45560;38559;31781;27031;22161;17019;13881;10571;7981;5320;4029;2640;1787;1105;839;483;310;143;116;0;0;0;0;0
1972;M;443691;428482;424178;422456;422980;433616;437940;446115;441312;429186;435180;428392;433516;425499;427614;425080;422746;423704;416167;422341;419022;440456;447061;451758;454430;436517;332768;329266;326135;306016;278363;295725;316843;317224;319925;326126;324185;336931;332615;347577;346139;356369;338576;340322;333793;333793;331411;320594;319979;319375;325739;334007;201156;176763;155264;145558;179606;262575;265175;265522;244879;253892;245318;242388;229403;225825;219104;209857;201306;196530;184104;166253;153419;136177;123824;110672;89201;81855;74497;64265;58945;50501;45950;39484;33004;26517;22297;18012;13567;10847;8075;6031;3806;2904;1812;1261;757;564;311;208;106;0;0;0;0;0
1973;M;441769;442711;428901;424755;423391;423042;433467;438377;447013;442185;430218;436148;430056;435029;426971;428939;426619;424025;424323;415348;422242;421805;445952;450373;455488;457811;437857;333567;330573;327777;308020;280239;297082;316967;317377;319397;325524;323354;336055;331783;346289;344993;354539;336626;338464;331637;331609;329039;317726;317139;316604;322967;331151;199073;174845;153269;143583;177073;258245;261002;260926;239954;247984;239335;235924;222944;219027;211810;202096;193283;188289;175711;157716;144923;127728;115488;102526;81639;74594;67400;57477;52501;44342;40010;33903;27959;22048;18207;14561;10795;8389;6189;4502;2747;2095;1275;989;535;392;231;195;0;0;0;0;0
1974;M;430458;439676;442553;428941;425066;424057;422746;433171;438595;447493;442749;431114;436959;431628;436419;428317;430418;428002;424936;425444;417172;427496;429956;451470;453673;459808;460309;439007;334713;332457;329867;310668;282275;298357;316975;317134;318406;324567;322462;335169;330707;344869;343641;352438;334330;336410;329409;329011;326717;314567;314113;313791;319977;328152;196859;172682;151160;141406;174296;253590;256597;255598;234719;241996;233109;229457;216423;212047;204301;194137;185302;179631;166967;148971;136237;119186;107146;94267;74183;67239;60373;50751;46069;38353;34118;28647;23073;17936;14476;11419;8281;6256;4632;3261;1814;1462;941;783;369;272;238;0;0;0;0;0
1975;M;400273;426702;437871;441549;428356;424875;424158;422070;432476;438175;447534;443100;431734;437592;432977;437615;429480;431461;428990;426247;428775;422219;434346;431195;451035;454541;460049;460576;439029;334593;333179;330926;311460;282224;297100;314469;314727;315686;322064;320148;332625;328234;342018;341070;349235;331099;333587;326336;326000;323630;310883;310821;310555;316426;324490;194111;170288;148753;138915;171200;248495;251243;250005;229070;235727;226610;222811;209799;204741;196676;185967;176918;170764;158085;139899;127383;110834;98682;86032;66874;60088;53686;44572;40197;32760;28864;23961;18959;14511;11446;8929;6377;4582;3473;2364;1362;1022;698;673;307;307;0;0;0;0;0
1976;M;368844;394268;427384;439293;442417;430267;426519;424219;427889;438879;442599;449305;444556;431147;439083;432239;438571;430281;431736;428043;425929;427980;422793;431204;432101;450036;454940;459197;458296;438910;337881;332749;329434;307714;280011;290863;312746;312352;314785;317995;318483;330152;325748;337984;339865;343877;329522;330417;323285;321346;318989;307040;307648;305478;313861;317691;191848;167272;145976;135620;167892;243944;246191;243078;223938;227705;220945;215552;202372;196619;188168;177016;167756;160379;148859;130115;118246;101958;90182;77724;60482;53629;47030;38524;34150;27487;23934;19379;15073;11324;8801;6499;4496;3275;2247;1716;771;574;367;451;159;0;0;0;0;0
1977;M;357358;366192;398202;429611;441504;444206;431859;428092;425850;429427;440254;443885;450479;445730;432234;439658;432358;438526;429474;430111;426015;423899;426413;421960;431458;432547;450719;455238;459150;458095;438360;337141;331777;328182;306226;278695;289815;311753;311511;313831;316936;317099;328658;324100;336139;337735;341493;326996;327689;320315;318338;315907;303948;304234;301898;309837;313386;189064;164710;143635;133323;164636;238727;240315;236719;217665;220707;213549;207681;194321;188060;179418;168101;158508;150741;138990;120788;108953;93307;81357;69743;53726;47183;40907;32974;28912;22812;19398;15589;11748;8656;6592;4708;3298;2305;1563;1231;470;353;247;384;0;0;0;0;0
1978;M;370284;354605;369954;400347;431448;443119;445615;433169;429435;427248;430679;441351;444927;451432;446578;432874;439933;432381;437417;427612;427990;423998;422207;425338;422075;431801;433252;451078;455241;459084;457479;437249;335950;330400;326665;304798;277607;288807;310815;310540;312709;315716;315594;326974;322220;334046;335470;338833;324301;324737;317337;315166;312779;300831;300746;298178;305789;309015;186136;162088;141345;130939;161213;233337;234323;230310;211309;213842;206085;199801;186391;179626;170627;159110;149431;141300;129563;111827;99961;84805;73349;62332;47542;41359;35432;28191;24229;18752;15781;12352;9042;6508;4954;3432;2353;1641;1074;912;272;237;389;0;0;0;0;0
1979;M;366490;367243;358021;371819;402017;432612;444303;446664;434161;430439;428260;431624;442151;445687;452011;446951;433102;439925;431177;435177;425059;425628;421998;420813;424936;422000;432101;433430;450961;455057;458406;456150;435521;334246;328639;325131;303550;276461;287819;309639;309240;311283;314206;313850;325183;320069;331798;332815;336030;321328;321542;314131;311923;309470;297562;297040;294294;301389;304394;183181;159294;138721;128208;157521;227530;227900;223483;204554;206593;198537;191541;178180;170888;161648;149856;140134;131698;119698;102436;90747;76411;65205;54710;41407;35611;30133;23526;19851;15076;12434;9563;6807;4812;3537;2430;1615;1177;705;688;183;370;0;0;0;0;0
1980;M;377051;363553;370868;360055;373697;403444;433787;445539;447844;435235;431476;429301;432559;442961;446393;452371;447159;433351;439027;429134;432546;422642;423746;420836;420599;424981;422537;432591;433760;451327;454834;457608;454788;433830;332711;327395;324253;302652;275725;286943;308494;308004;309920;312807;312252;323342;318120;329452;330212;333122;318399;318299;310838;308410;306094;294198;293171;290210;296934;299536;180083;156461;136007;125443;153756;221600;221449;216635;197631;198951;190525;183248;169936;162072;152664;140644;130682;122129;110133;93461;81830;68237;57539;47731;35854;30356;25399;19458;16124;11933;9647;7181;5070;3541;2541;1653;1087;848;469;461;397;0;0;0;0;0
1981;M;398632;374084;367215;372952;361975;375224;404769;434885;446748;448940;436203;432400;430262;433457;443596;446775;452495;447327;432692;437288;426818;430046;420808;422763;420898;420823;425638;423226;433220;434498;451622;454531;456745;453345;432210;331535;326664;323588;302091;275142;286009;307440;306796;308561;311402;310584;321506;315954;327132;327418;330194;315334;315033;307513;304821;302568;290684;289251;285887;292309;294587;176848;153406;133056;122603;149837;215535;214678;209413;190600;191266;182506;174709;161227;152853;143486;131341;121176;112552;100636;84630;72994;60380;50059;41025;30557;25580;21245;15816;12778;9307;7225;5308;3655;2517;1741;1086;695;612;281;644;0;0;0;0;0
1982;M;400222;395575;377782;369312;374867;363510;376600;406014;435956;447902;449953;437078;433247;431144;434122;443930;446939;452680;446665;431283;435397;424877;428466;420096;423359;421734;421999;426782;424394;434593;435495;452090;454307;455998;452202;431185;331073;326399;323455;301727;274621;285239;306466;305761;307423;310101;309094;319599;313926;324589;324602;327160;312297;311657;304078;301279;298904;286990;285168;281592;287503;289264;173374;150148;130049;119627;145709;209085;207824;202110;183356;183235;174018;166053;152338;143591;134159;121842;111618;102804;91042;75618;64442;52537;43070;34802;25547;21026;17330;12601;9845;6974;5308;3781;2515;1715;1148;707;425;315;790;0;0;0;0;0
1983;M;400444;397284;399772;378540;371630;376854;365657;378228;407102;436656;449042;451197;438809;434858;432173;435103;445284;447810;451915;444644;429021;432629;423356;427152;419236;423652;423069;423113;427503;424897;435434;435378;452257;453654;455057;450823;430083;329889;325311;321889;300386;273026;283928;304614;303787;305276;308341;306479;316464;310871;321678;321070;323877;308917;307932;300139;297525;294601;282670;280724;276877;282142;283780;169834;146694;127141;116737;141415;202580;200708;194721;176201;175569;165946;157485;143789;134698;124944;112572;102248;93357;81721;67125;56560;45463;36688;29277;21149;17158;14039;9913;7548;5088;3702;2667;1832;1163;743;448;334;750;0;0;0;0;0
1984;M;375037;396931;401019;400664;380907;373579;378626;366922;379418;407956;437620;450162;452134;440363;436391;433600;436443;445924;447058;449750;441971;426294;429900;422384;426131;419446;424599;423667;423741;427892;425276;435903;434650;452233;452310;453989;449691;428849;328864;324145;320246;299088;271201;282803;302692;301856;303251;305957;303559;313539;308011;318569;317438;320568;305330;304129;296269;293523;290181;278171;276019;271759;276707;278198;166129;143154;123964;113178;136842;195729;193405;187224;168712;167537;157290;148625;134602;125352;115290;103056;92760;83574;72453;58643;48584;38509;30666;24082;17145;13883;11019;7487;5484;3554;2493;1861;1282;740;469;368;630;0;0;0;0;0
1985;M;380920;371170;399897;401379;403000;382794;375201;379456;367683;380315;408994;438511;450914;452827;441782;438198;435220;436979;444990;444974;446897;438974;423548;427771;421822;426377;420446;425001;423818;424133;428253;425419;435787;433748;451457;450946;453160;448438;427755;327754;322854;318581;297566;269511;281549;300994;300081;300577;303252;300854;310717;304941;315559;313969;317185;301573;300391;292169;289297;285526;273390;270888;266456;271161;272489;162530;139649;120303;109494;132168;188838;186217;179656;161204;159396;148661;139627;125708;116169;105850;93757;83598;74560;63857;50935;41429;32342;25425;19760;13933;10990;8511;5519;3917;2541;1766;1249;861;449;390;623;0;0;0;0;0
1986;M;385880;376985;373948;399755;403349;405077;384490;375987;379846;368217;381453;410013;439069;451486;453434;443540;440264;435986;435818;442629;442282;443840;436046;421479;426099;422552;427525;420902;425082;423896;424603;428403;425074;435587;432212;450686;449779;452230;447421;426620;326592;321559;316682;296194;267809;280544;299433;297736;297620;300780;298297;307777;301895;312602;310381;313624;297891;296388;287744;285029;280847;268230;265587;261232;265396;266752;158715;135544;116384;105643;127413;181985;178745;171782;153339;150989;139521;130326;116502;106885;96140;84062;74217;65621;55428;43509;34625;26669;20717;15982;10911;8392;6275;3922;2696;1780;1161;766;573;359;597;0;0;0;0;0
1987;M;391109;382246;379796;373585;401187;405057;407051;385408;376412;380125;369113;382657;410743;439558;452074;454478;445689;441576;435296;433446;439722;439386;440832;433792;419930;425831;424378;428278;421287;425203;424207;424995;428218;424610;434867;430801;450247;448589;451490;446341;425406;325430;320081;314939;294747;266286;279725;297306;295254;294968;298597;295682;304729;298933;309503;306628;310125;294044;292318;283546;280510;275640;263102;260289;255829;259773;260797;154346;131252;112380;101712;122869;174797;171041;164075;145329;142363;130334;121012;107231;97492;86831;75010;65405;57079;47515;36782;28594;21868;16808;12633;8333;6193;4582;2746;1942;1238;695;469;391;616;0;0;0;0;0
1988;M;385330;387673;385560;379689;374939;402490;406761;408347;386066;376862;380835;370084;383644;411551;440117;453141;455898;446977;441323;433288;430554;436629;436559;438540;432107;419844;426501;425780;428849;421612;425467;424374;424927;428065;423798;434201;429691;449686;447690;450714;445245;424193;324091;318761;313218;293621;265063;278420;294997;292959;292556;296199;293141;302040;295974;306518;303194;306475;290238;288145;279261;275843;270483;258029;254961;250536;253943;254236;149820;127000;108528;98078;118175;167604;163495;156075;137417;133811;121387;112121;98209;88468;77857;66541;57410;49420;40503;30761;23670;18000;13451;9855;6176;4473;3261;2016;1387;831;377;349;602;0;0;0;0;0
1989;M;387604;382199;391171;385984;381284;376298;403866;407947;409445;386782;377751;381692;370917;384704;412447;441231;454650;456616;446842;439846;430852;427500;433673;434506;436854;431951;420876;426977;427176;429593;422259;425728;424245;424982;427418;423047;433913;428495;449452;446712;449898;444114;422851;322921;317419;311792;292702;263379;276897;292938;290901;290014;293857;290913;299244;292999;303624;299427;302712;286305;283916;274497;271123;265477;253003;249860;245163;247637;247526;145289;122855;104707;94530;113657;160432;155703;148012;129313;125118;112544;103198;89282;79621;69394;58665;49669;42502;34255;25530;19349;14472;10571;7511;4455;3278;2366;1434;969;553;310;476;0;0;0;0;0
